split,filepath,brightness_median_v,brightness_p5_v
train,train/img/00306.jpg,49.0,13.0
train,train/img/01844.jpg,49.0,18.0
train,train/img/01846.jpg,49.0,17.0
train,train/img/01847.jpg,49.0,18.0
train,train/img/02453.jpg,49.0,16.0
train,train/img/02454.jpg,49.0,16.0
train,train/img/02457.jpg,49.0,17.0
train,train/img/02458.jpg,49.0,16.0
train,train/img/03425.jpg,49.0,15.0
train,train/img/03427.jpg,49.0,15.0
train,train/img/03428.jpg,49.0,15.0
train,train/img/03429.jpg,49.0,15.0
train,train/img/03430.jpg,49.0,15.0
train,train/img/03431.jpg,49.0,15.0
train,train/img/03432.jpg,49.0,15.0
train,train/img/03434.jpg,49.0,15.0
train,train/img/03435.jpg,49.0,15.0
train,train/img/03436.jpg,49.0,15.0
train,train/img/03437.jpg,49.0,15.0
train,train/img/03438.jpg,49.0,15.0
