split,filepath,brightness_median_v,brightness_p5_v
train,train/img/00274.jpg,0.0,0.0
test,test/img/01019.jpg,27.0,17.0
test,test/img/01138.jpg,30.0,10.0
train,train/img/04063.jpg,31.0,9.0
train,train/img/02598.jpg,32.0,8.0
train,train/img/04062.jpg,32.0,10.0
train,train/img/04064.jpg,32.0,10.0
val,val/img/02032.jpg,32.0,10.0
train,train/img/02596.jpg,33.0,8.0
train,train/img/02597.jpg,33.0,8.0
train,train/img/02599.jpg,33.0,8.0
train,train/img/02600.jpg,33.0,8.0
train,train/img/02609.jpg,33.0,8.0
train,train/img/02610.jpg,33.0,8.0
train,train/img/04060.jpg,33.0,10.0
train,train/img/04061.jpg,33.0,10.0
val,val/img/01226.jpg,33.0,12.0
val,val/img/01299.jpg,33.0,8.0
val,val/img/01300.jpg,33.0,8.0
val,val/img/01301.jpg,33.0,8.0
